date,comp,place,value,placeID
2021-01-04,vacc,Torino,18717.01152605084,0
2021-01-05,vacc,Torino,18717.01152605084,0
2021-01-06,vacc,Torino,18717.01152605084,0
2021-01-07,vacc,Torino,18717.01152605084,0
2021-01-08,vacc,Torino,18717.01152605084,0
2021-01-09,vacc,Torino,18717.01152605084,0
2021-01-10,vacc,Torino,0.0,0
2021-01-11,vacc,Torino,18717.01152605084,0
2021-01-12,vacc,Torino,18717.01152605084,0
2021-01-13,vacc,Torino,18717.01152605084,0
2021-01-14,vacc,Torino,18717.01152605084,0
2021-01-15,vacc,Torino,18717.01152605084,0
2021-01-16,vacc,Torino,0.0,0
2021-01-17,vacc,Torino,0.0,0
2021-01-18,vacc,Torino,18717.01152605084,0
2021-01-19,vacc,Torino,18717.01152605084,0
2021-01-20,vacc,Torino,18717.01152605084,0
2021-01-21,vacc,Torino,18717.01152605084,0
2021-01-22,vacc,Torino,14900.581530615418,0
2021-01-23,vacc,Torino,0.0,0
2021-01-24,vacc,Torino,0.0,0
2021-01-25,vacc,Torino,18717.01152605084,0
2021-01-26,vacc,Torino,18717.01152605084,0
2021-01-27,vacc,Torino,18717.01152605084,0
2021-01-28,vacc,Torino,18717.01152605084,0
2021-01-29,vacc,Torino,0.0,0
2021-01-30,vacc,Torino,0.0,0
2021-01-31,vacc,Torino,0.0,0
2021-02-01,vacc,Torino,18717.01152605084,0
2021-02-02,vacc,Torino,18717.01152605084,0
2021-02-03,vacc,Torino,18717.01152605084,0
2021-02-04,vacc,Torino,18717.01152605084,0
2021-02-05,vacc,Torino,0.0,0
2021-02-06,vacc,Torino,0.0,0
2021-02-07,vacc,Torino,0.0,0
2021-02-08,vacc,Torino,18717.01152605084,0
2021-02-09,vacc,Torino,18717.01152605084,0
2021-02-10,vacc,Torino,18717.01152605084,0
2021-02-11,vacc,Torino,18717.01152605084,0
2021-02-12,vacc,Torino,0.0,0
2021-02-13,vacc,Torino,0.0,0
2021-02-14,vacc,Torino,0.0,0
2021-02-15,vacc,Torino,18717.01152605084,0
2021-02-16,vacc,Torino,18717.01152605084,0
2021-02-17,vacc,Torino,18717.01152605084,0
2021-02-18,vacc,Torino,18717.01152605084,0
2021-02-19,vacc,Torino,0.0,0
2021-02-20,vacc,Torino,0.0,0
2021-02-21,vacc,Torino,0.0,0
2021-02-22,vacc,Torino,18717.01152605084,0
2021-02-23,vacc,Torino,18717.01152605084,0
2021-02-24,vacc,Torino,18717.01152605084,0
2021-02-25,vacc,Torino,18717.01152605084,0
2021-02-26,vacc,Torino,1.4835463491183135e-09,0
2021-02-27,vacc,Torino,0.0,0
2021-02-28,vacc,Torino,0.0,0
2021-03-01,vacc,Torino,18717.01152605084,0
2021-03-02,vacc,Torino,18717.01152605084,0
2021-03-03,vacc,Torino,18717.01152605084,0
2021-03-04,vacc,Torino,10914.16258631982,0
2021-03-05,vacc,Torino,5.193549154458796e-09,0
2021-03-06,vacc,Torino,0.0,0
2021-03-07,vacc,Torino,0.0,0
2021-03-08,vacc,Torino,18717.01152605084,0
2021-03-09,vacc,Torino,18717.01152605084,0
2021-03-10,vacc,Torino,18717.01152605084,0
2021-03-11,vacc,Torino,1.0818586497208877e-06,0
2021-03-12,vacc,Torino,1.1288219134384254e-08,0
2021-03-13,vacc,Torino,1.0264656853605608e-09,0
2021-03-14,vacc,Torino,0.0,0
2021-03-15,vacc,Torino,18717.01152605084,0
2021-03-16,vacc,Torino,18717.01152605084,0
2021-03-17,vacc,Torino,18717.01152605084,0
2021-03-18,vacc,Torino,18717.01152605084,0
